SISTEMA;EXTRACT(YEARFROMVIG_INICIAL);DESARROLLADOR;DE_OTRO_SIST;CUAL_OTRO_SIST;COMO_CONECTA
REQ;2007;;NO;
Asunto: %ASUNTO_RQ%
Descripción: 
%DETALLE_RQ% ... 

%CALIFICA% 

Por favor no responda este mensaje.;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2013;;NO;1-Tabla de Retención básica (art. 383 del E.T.);Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2020;;NO;1. Mi patrimonio bruto era igual o inferior a 4.500 UVT ($160.232.000);Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2023;;NO;1. Mi patrimonio bruto era igual o inferior a 4.500 UVT.;Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2000;;NO;1. Mi patrimonio bruto era igual o inferior a cuatro mil quinientos (4.500) UVT. ($133.889.000).;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;1999;;NO;10.180.24.17;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2014;;NO;10.180.24.17;Se toma de una tabla donde esta configurado y se lee desde el código
BONPENS;2000;;NO;100% S.H.D.;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;1999;;NO;11 11. Otras adquisic de bienes. serv y obra inferior al 10% de la mc. Sin sorteo;Se toma de una tabla donde esta configurado y se lee desde el código
OPGET;2017;;NO;1159-I.F.I. CONCESION SALINAS;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;1999;;NO;12 12. Otras adquisic de bienes. serv y obra inferio al 10% de la mc. Con sorteo;Se toma de una tabla donde esta configurado y se lee desde el código
SISLA;2001;;NO;12-Falta de Datos Básicos: Dirección, teléfonos,
Fecha Nacimiento, EPS. Dirección y teléfonos actuales. Formato o Certificación de Afiliación a EPS.;Se toma de una tabla donde esta configurado y se lee desde el código
OPGET;2017;;NO;1204-EMPRESAS VARIAS DE MEDELLIN E.S.E.;Se toma de una tabla donde esta configurado y se lee desde el código
SISLA;2001;;NO;17-Falta Documento de Identificación para Menores de Edad.
Fotoc. TI o RC de los representados menores.;Se toma de una tabla donde esta configurado y se lee desde el código
OPGET;2017;;NO;1701-EMPRESAS VARIAS DE MEDELLIN E.S.E.;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2000;;NO;18 - Empresa Social del Estado - E.S.E.;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2000;;NO;19 - Empresa de Servicios Públicos - E.S.P.;Se toma de una tabla donde esta configurado y se lee desde el código
SISLA;2000;;NO;2. Mi patrimonio bruto era igual o inferior a ciento cincuenta y cinco millones quinientos mil pesos ($155.500.000) al 31 de Diciembre de;Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2023;;NO;2. Mis ingresos brutos fueron inferiores a 1.400 UVT.;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2000;;NO;21 - Empresa Promotora de Salud - E.P.S.;Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2000;;NO;3. Mis ingresos brutos fueron inferiores a mil cuatrocientos (1.400) UVT.  ($41.654.000).;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2015;;NO;37-F.01,37-F.04,37-F.21,;Se toma de una tabla donde esta configurado y se lee desde el código
CONTRATACION;2015;;NO;37-F.01,37-F.04,37-F.21,37-F.33,37-F.34,37-F.45,;Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2023;;NO;4. Mis consumos mediante tarjeta de crédito no excedieron la suma de 1.400 UVT.;Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2016;;NO;4. Mis consumos mediante tarjeta de crédito no excedieron la suma de dos mil ochocientas (2.800) UVT. ($79.181.000);Se toma de una tabla donde esta configurado y se lee desde el código
NOMINA;2000;;NO;4. Mis consumos mediante tarjeta de crédito no excedieron la suma de dos mil ochocientos (2.800) UVT. ($83.308.000);Se toma de una tabla donde esta configurado y se lee desde el código
SISLA;2000;;NO;4. Mis ingresos brutos ordinarios fueron iguales o inferiores a ochenta  millones ochocientos mil pesos ($80.800.000).;Se toma de una tabla donde esta configurado y se lee desde el código
SISLA;2001;;NO;5-Por cumplir la mayoría de edad (18 años). Fotoc. CC.
Fotoc. formato cambio condición EPS.
Supervivencia actualizada.
